seller_id_values,seller_city,seller_state,total_products,total_orders,Revenue_2016,Revenue_2017,Revenue_2018,total_revenue
S00468,sa~o paulo,SP,29,29,0,0,4568.71,4568.71
S00470,sa~o paulo,SP,32,32,0,4364.99,4364.99,8729.98
S00476,sa~o paulo,SP,7,7,0,0,333.18,333.18
S00479,Belo Horizonte,MG,1,1,0,0,47.04,47.04
S00481,ribeirao preto,SP,1,1,0,127.2,0,127.2
S00489,varzea alegre,CE,2,2,0,0,757.75,757.75
S00490,santa maria,RS,2,2,0,0,105.57,105.57
S00496,Brasilia,DF,1,1,0,132.12,0,132.12
S00499,jaragua do sul,SC,30,30,0,2265.28,2265.28,4530.56
S00504,rio de janeiro,RJ,10,10,0,781.12,781.12,1562.24
S00507,sa~o paulo,SP,7,7,0,935.19,935.19,1870.38
S00508,divinopolis,MG,23,23,9176.54,9176.54,9176.54,27529.62
S00509,juiz de fora,MG,4,4,0,570.83,0,570.83
S00512,irece,BA,1,1,0,0,363.79,363.79
S00514,itu,SP,6,6,0,0,840.33,840.33
S00517,tubarao,SC,16,16,0,2477.55,2477.55,4955.1
S00519,nova friburgo,RJ,31,31,0,51629.49,51629.49,103258.98
S00531,ribeirao preto,SP,1,1,0,0,119.7,119.7
S00536,sa~o paulo,SP,1,1,0,0,168.63,168.63
S00259,colombo,PR,4,4,0,980.45,980.45,1960.9
S00262,maringa,PR,53,53,0,15363.54,15363.54,30727.08
S00274,taboao da serra,SP,10,10,0,2218.17,2218.17,4436.34
S00277,ribeirao pires,SP,18,18,0,0,741.21,741.21
S00278,mogi guacu,SP,126,126,0,42366.34,42366.34,84732.68
S00279,guarulhos,SP,1,1,0,365.77,0,365.77
S00283,sa~o paulo,SP,57,57,0,54093.08,54093.08,108186.16
S00285,ibitinga,SP,494,494,0,36401.89,36401.89,72803.7800000001
S00289,rio negrinho,SC,6,6,0,0,1609.73,1609.73
S00294,Brasilia,DF,3,3,0,812.8,812.8,1625.6
S00297,guarulhos,SP,3,3,0,0,716.74,716.74
S00298,sa~o paulo,SP,2,2,0,425.76,0,425.76
S00321,sa~o paulo,SP,19,19,0,2195.61,0,2195.61
S00323,sa~o paulo,SP,84,84,0,6121.02,6121.02,12242.04
S00326,sa~o paulo,SP,202,202,0,11552.01,11552.01,23104.02
S00328,sao carlos,SP,3,3,0,0,267.39,267.39
S00331,Belo Horizonte,MG,1,1,0,0,113.69,113.69
S00333,cataguases,MG,4,4,0,0,1963.08,1963.08
S00336,curitiba,PR,1,1,0,0,43.55,43.55
S00340,sa~o paulo,SP,5,5,0,0,926.72,926.72
S00341,jaguaruna,SC,40,40,0,3100.55,3100.55,6201.1
S00342,joinville,SC,2,2,0,0,97.62,97.62
S00347,vicosa,MG,12,12,0,789.92,789.92,1579.84
S00348,sa~o paulo,SP,43,43,0,3027.54,3027.54,6055.08
S00354,ibitinga,SP,27,27,0,0,2287.5,2287.5
S00355,birigui,SP,13,13,0,1389.79,1389.79,2779.58
S00359,jaguariuna,SP,2,2,0,0,292.39,292.39
S00370,sa~o paulo,SP,1,1,0,0,57.29,57.29
S00372,curitiba,PR,7,7,0,942.54,942.54,1885.08
S00374,sa~o paulo,SP,1,1,0,0,15.9,15.9
S00375,maua,SP,2,2,0,0,103.95,103.95
S00379,santa cecilia,SC,1,1,0,319.29,0,319.29
S00382,borda da mata,MG,1,1,0,0,88.13,88.13
S00384,porto ferreira,SP,2,2,0,0,334.3,334.3
S00385,guarapuava,PR,3,3,0,820.27,0,820.27
S00389,laguna,SP,3,3,0,0,280.75,280.75
S00390,itu,SP,7,7,0,0,531.38,531.38
S00392,andira-pr,PR,32,32,0,1040.68,1040.68,2081.36
S00394,sa~o paulo,SP,50,50,0,3342.2,3342.2,6684.4
S00395,Santa Bárbara d'Oeste,SP,1,1,0,29.42,0,29.42
S00399,sete lagoas,MG,3,3,0,0,216.86,216.86
S00400,sa~o paulo,SP,22,22,0,3433.89,3433.89,6867.78
S00406,itaquaquecetuba,SP,2,2,0,0,334.29,334.29
S00409,curitiba,PR,11,11,0,0,1245.58,1245.58
S00410,bandeirantes,PR,5,5,0,0,769.44,769.44
S00411,Belo Horizonte,MG,127,127,15451.08,15451.08,15451.08,46353.24
S00416,porto ferreira,SP,72,72,6280.81,6280.81,6280.81,18842.43
S00419,dois corregos,SP,29,29,0,4387.94,4387.94,8775.88
S00428,sao jose do rio preto,SP,1,1,0,0,121.51,121.51
S00432,serra redonda,PB,1,1,0,412.12,0,412.12
S00438,apucarana,PR,12,12,0,0,8806.18,8806.18
S00443,cotia,SP,50,50,0,2359.55,2359.55,4719.1
S00445,praia grande,SP,17,17,0,1571.71,0,1571.71
S00450,jaci,SP,1,1,0,0,546.55,546.55
S00456,pedregulho,SP,7,7,0,745.92,745.92,1491.84
S00461,sa~o paulo,SP,1,1,0,0,154.78,154.78
S00464,maua,SP,1,1,0,0,111.76,111.76
S00467,praia grande,SP,1,1,0,0,118.59,118.59
S00469,sa~o paulo,SP,31,31,0,2054.91,0,2054.91
S00473,campinas,SP,8,8,0,452.27,0,452.27
S00475,Belo Horizonte,MG,101,101,0,7420.51,7420.51,14841.02
S00480,itaporanga,SP,3,3,0,0,270.36,270.36
S00486,sa~o paulo,SP,14,14,0,597.98,597.98,1195.96
S00493,Belo Horizonte,MG,52,52,0,3517.2,3517.2,7034.40000000001
S00264,imbituba,SC,2,2,0,109,0,109
S00267,sa~o paulo,SP,1,1,0,0,61.08,61.08
S00268,minas gerais,MG,1,1,0,0,356.11,356.11
S00272,santana de parnaiba,SP,1,1,0,252.35,0,252.35
S00276,Belo Horizonte,MG,2,2,0,115.52,115.52,231.04
S00286,Belo Horizonte,MG,64,64,0,3872.21,3872.21,7744.42
S00292,varzea paulista,SP,31,31,0,0,1102.38,1102.38
S00301,jacutinga,MG,25,25,0,2225.38,0,2225.38
S00303,pradopolis,SP,10,10,0,0,3183.43,3183.43
S00306,americana,SP,4,4,0,219.62,0,219.62
S00308,São Bernardo do Campo,SP,1,1,0,39.34,0,39.34
S00311,sa~o paulo,SP,10,10,0,458.5,0,458.5
S00316,sao ludgero,SC,113,113,0,17105.13,17105.13,34210.26
S00317,maringa,PR,1,1,0,65.81,0,65.81
S00318,rio do sul,SC,5,5,0,0,1254.35,1254.35
S00334,santana de parnaiba,SP,125,125,0,13651.73,13651.73,27303.46
S00351,Belo Horizonte,MG,1,1,0,0,78.32,78.32
S00353,sa~o paulo,SP,284,284,0,11568.77,11568.77,23137.54
S00356,sa~o paulo,SP,8,8,0,1641.74,1641.74,3283.48
S00360,campinas,SP,1,1,0,166.71,0,166.71
S00361,catanduva,SP,3,3,0,291.62,0,291.62
S00362,sa~o paulo,SP,10,10,0,281.39,0,281.39
