product_id_values,avg_review,main_categories,total_quantity_sold,Revenue_2016,Revenue_2017,Revenue_2018,product_lifecycle,sellers_inolved,transaction_value,total_customers_bought
P13861,3,"Sports, Toys & Leisure",5,0,69,69,last two years,5,420.54,5
P02556,4,"Sports, Toys & Leisure",5,0,68.3,68.3,last two years,5,420.99,5
P16205,4,"Construction tools ,arts & Others",5,0,64.78,64.78,last two years,5,422.35,5
P17471,4,Home & Furniture,5,0,0,65.9,only one year,5,423.7,5
P26956,4,"Sports, Toys & Leisure",5,0,59.3,0,only one year,5,424.68,5
P26417,2,Home & Furniture,5,0,70.74,0,only one year,5,431.58,5
P26187,4,Home & Furniture,5,0,74.9,74.9,last two years,5,433.69,5
P13059,4,Home & Furniture,5,0,0,72,only one year,5,439.68,5
P02138,4,"Construction tools ,arts & Others",5,0,47.35,47.35,last two years,5,440.37,5
P21064,4,"Construction tools ,arts & Others",5,0,74.25,74.25,last two years,5,443.58,5
P00977,4,"Construction tools ,arts & Others",5,0,0,69.82,only one year,5,444.84,5
P23015,4,Home & Furniture,5,0,69.9,0,only one year,5,449.65,5
P03343,2,Home & Furniture,5,0,0,69.9,only one year,5,450.6,5
P11687,3,Home & Furniture,5,0,74.9,74.9,last two years,5,452.27,5
P31017,4,"Construction tools ,arts & Others",5,0,74,74,last two years,5,453.8,5
P30860,3,Home & Furniture,5,0,73.35,0,only one year,5,458.48,5
P27036,3,Fashion & Accessories,5,0,79.9,0,only one year,5,465.65,5
P01166,3,"Sports, Toys & Leisure",5,0,79,79,last two years,5,468.71,5
P06109,4,Home & Furniture,5,0,81.62,81.62,last two years,5,471.29,5
P11405,3,"Sports, Toys & Leisure",5,0,79.9,0,only one year,5,481.64,5
P09311,3,Home & Furniture,5,0,82.99,0,only one year,5,490.02,5
P29881,3,Home & Furniture,5,0,77.4,77.4,last two years,5,490.48,5
P00817,5,Electronics & Technology,5,0,0,79.9,only one year,5,494.32,5
P28921,3,"Construction tools ,arts & Others",5,0,79,79,last two years,5,501.59,5
P11096,2,Home & Furniture,5,0,82.99,0,only one year,5,513.04,5
P03373,4,Beauty & Personal Care,5,0,0,91.89,only one year,5,517.99,5
P20112,5,Home & Furniture,5,0,0,86.52,only one year,5,519.02,5
P23132,5,Home & Furniture,5,0,89.9,0,only one year,5,523.87,5
P16388,4,Beauty & Personal Care,5,0,89.9,0,only one year,5,523.9,5
P13216,4,"Sports, Toys & Leisure",5,0,0,79.9,only one year,5,545.89,5
P03427,5,Electronics & Technology,5,0,96.39,96.39,last two years,5,549.83,5
P07734,2,"Sports, Toys & Leisure",5,0,89,89,last two years,5,559.94,5
P08780,4,Home & Furniture,5,0,89.99,0,only one year,5,560.32,5
P14861,4,Electronics & Technology,5,0,92.9,92.9,last two years,5,560.6,5
P27557,4,Electronics & Technology,5,0,97.9,97.9,last two years,5,570.33,5
P23167,2,Home & Furniture,5,0,89.9,89.9,last two years,5,570.87,5
P11943,4,Electronics & Technology,5,0,99.99,0,only one year,5,580.97,5
P23990,3,"Sports, Toys & Leisure",5,0,92.34,92.34,last two years,5,581.91,5
P01216,4,Beauty & Personal Care,5,0,0,99.99,only one year,5,586.32,5
P18491,4,"Sports, Toys & Leisure",5,0,98,0,only one year,5,593.69,5
P30322,4,Beauty & Personal Care,5,0,0,104,only one year,5,598.03,5
P08442,2,"Sports, Toys & Leisure",5,0,104.94,104.94,last two years,5,602.12,5
P09247,4,Beauty & Personal Care,5,0,0,110.32,only one year,5,609.99,5
P26780,3,"Sports, Toys & Leisure",5,0,0,102.2,only one year,5,613.57,5
P30312,4,Electronics & Technology,5,0,0,105,only one year,5,638.69,5
P04571,4,Beauty & Personal Care,5,0,0,110,only one year,5,638.9,5
P31612,4,Home & Furniture,5,0,114.18,114.18,last two years,5,640.4,5
P30746,3,Home & Furniture,5,0,109.9,0,only one year,5,653.75,5
P11396,4,Home & Furniture,5,0,116.9,116.9,last two years,5,658.69,5
P09052,4,NULL,5,0,116.94,0,only one year,5,662.43,5
P18876,4,Home & Furniture,5,0,0,117.45,only one year,5,671.52,5
P23424,4,Home & Furniture,5,0,99.99,0,only one year,5,678.29,5
P31121,5,Home & Furniture,5,0,122.4,122.4,last two years,5,682.67,5
P20387,3,Home & Furniture,5,0,119.9,0,only one year,5,690.68,5
P14103,2,"Sports, Toys & Leisure",5,0,0,124.58,only one year,5,711.35,5
P12678,2,Home & Furniture,5,0,125.05,125.05,last two years,5,712.71,5
P19865,4,Home & Furniture,5,0,127.3,127.3,last two years,5,724.54,5
P03693,4,Home & Furniture,5,0,106.37,106.37,last two years,5,729.4,5
P10674,5,"Construction tools ,arts & Others",5,0,0,129.9,only one year,5,737.13,5
P15065,2,"Sports, Toys & Leisure",5,0,125.98,125.98,last two years,5,739.53,5
P32163,5,"Construction tools ,arts & Others",5,0,111.54,0,only one year,5,744.99,5
P16779,5,Home & Furniture,5,0,132.48,132.48,last two years,5,745.64,5
P30492,1,Home & Furniture,5,133.9,133.9,0,First two years,5,756.94,5
P09696,4,"Sports, Toys & Leisure",5,0,139.9,0,only one year,5,762.75,5
P20418,2,"Construction tools ,arts & Others",5,0,0,136,only one year,5,778.36,5
P20248,4,Electronics & Technology,5,0,145,145,last two years,5,818.32,5
P24043,4,Fashion & Accessories,5,0,0,129,only one year,5,839.54,5
P07480,4,Home & Furniture,5,0,0,152.9,only one year,5,839.66,5
P21621,4,Home & Furniture,5,0,0,148,only one year,5,854.56,5
P19867,2,"Sports, Toys & Leisure",5,0,152.5,152.5,last two years,5,884.9,5
P01874,3,Beauty & Personal Care,5,0,157.92,0,only one year,5,889.49,5
P28673,2,Home & Furniture,5,0,0,144.99,only one year,5,914.26,5
P26587,4,Electronics & Technology,5,0,0,159.9,only one year,5,928.79,5
P04197,3,Electronics & Technology,5,0,0,164.7,only one year,5,936.86,5
P16611,4,"Sports, Toys & Leisure",5,0,169.5,169.5,last two years,5,943.68,5
P19458,3,"Construction tools ,arts & Others",5,0,179.49,179.49,last two years,5,984.08,5
P16725,5,Home & Furniture,5,0,173.95,173.95,last two years,5,985.37,5
P24186,3,"Sports, Toys & Leisure",5,0,185.49,185.49,last two years,5,993.56,5
P04255,3,"Construction tools ,arts & Others",5,0,189.99,189.99,last two years,5,1026.38,5
P02006,4,"Sports, Toys & Leisure",5,0,0,195,only one year,5,1047.64,5
P06847,4,Beauty & Personal Care,5,0,197.12,197.12,last two years,5,1054.01,5
P17815,4,Home & Furniture,5,0,189.98,189.98,last two years,5,1078.63,5
P31667,4,"Sports, Toys & Leisure",5,0,193,193,last two years,5,1083.55,5
P11712,3,"Sports, Toys & Leisure",5,0,200,200,last two years,5,1084.7,5
P22801,4,"Sports, Toys & Leisure",5,0,180.92,180.92,last two years,5,1101.51,5
P06528,4,Beauty & Personal Care,5,0,197.9,197.9,last two years,5,1104.58,5
P15603,5,Home & Furniture,5,0,159,159,last two years,5,1118.52,5
P30544,5,Electronics & Technology,5,0,209,209,last two years,5,1143.61,5
P31943,3,Home & Furniture,5,0,0,204.18,only one year,5,1147.22,5
P24056,4,"Sports, Toys & Leisure",5,0,189.9,189.9,last two years,5,1164.16,5
P02447,4,Home & Furniture,5,0,189.9,189.9,last two years,5,1165.42,5
P01567,5,Beauty & Personal Care,5,0,219.9,0,only one year,5,1172.94,5
P03182,4,"Construction tools ,arts & Others",5,0,214,214,last two years,5,1193.74,5
P20053,3,"Construction tools ,arts & Others",5,0,199.99,199.99,last two years,5,1194.08,5
P30852,4,"Sports, Toys & Leisure",5,0,212.16,0,only one year,5,1228.08,5
P18009,3,"Sports, Toys & Leisure",5,0,233.99,0,only one year,5,1245.54,5
P31935,5,"Construction tools ,arts & Others",5,0,229.34,229.34,last two years,5,1264.91,5
P07442,4,"Sports, Toys & Leisure",5,0,0,209.4,only one year,5,1280.72,5
P19383,4,Electronics & Technology,5,0,0,234.8,only one year,5,1287.47,5
